UNIT_ID,PARK_NAME,PARK_LBL,ACCESS_TYP,RPT_ACRES,GIS_ACRES,AGNCY_NAME,AGNCY_LEV,AGNCY_TYP,AGNCY_WEB,MNG_AGENCY,COGP_TYP,NDS_AN_TYP,NEEDS_ANLZ,TKIT_SUM,AMEN_RPT,PRKINF_CND,AM_OPNSP,AM_TRLS,TRLS_MI,TENIS_GOOD,TENIS_FAIR,TENIS_POOR,BSKTB_GOOD,BSKTB_FAIR,BSKTB_POOR,BASEB_GOOD,BASEB_FAIR,BASEB_POOR,Soccer_GOO,Soccer_FAI,Soccer_POO,MPFLD_GOOD,MPFLD_FAIR,MPFLD_POOR,FITZN_GOOD,FITZN_FAIR,FITZN_POOR,SK8PK_GOOD,SK8PK_FAIR,SK8PK_POOR,PCNIC_GOOD,PCNIC_FAIR,PCNIC_POOR,PLGND_GOOD,PLGND_FAIR,PLGND_POOR,POOLS_GOOD,POOLS_FAIR,POOLS_POOR,SPPAD_GOOD,SPPAD_FAIR,SPPAD_POOR,DGPRK_GOOD,DGPRK_FAIR,DGPRK_POOR,GYMNA_GOOD,GYMNA_FAIR,GYMNA_POOR,COMCT_GOOD,COMCT_FAIR,COMCT_POOR,SNRCT_GOOD,SNRCT_FAIR,SNRCT_POOR,RSTRM_GOOD,RSTRM_FAIR,RSTRM_POOR,CPAD_LAYER,LAT_DD,LON_DD,UnitID_2,TYPE,Shape_area,Shape_len
"2,850",Ocean View Park,Ocean View Park,Open Access,5.769,5.76944279,"Santa Monica, City of",City,City Agency,http://santa-monica.org/departments/ccs/content.aspx?id=32599,"Santa Monica, City of",Neighborhood Park,Park 5 to 100 Acres,true,true,true,Good,Present - Fair,None,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City,33.99887237,-118.4832753,"2,850",Local Park,"251,315.9225","4,019.845026"
"8,130",Paxton Park,Paxton Park,Open Access,5.775,5.7748152,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Neighborhood Park,Park 5 to 100 Acres,true,true,true,Fair,Present - Fair,None,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,City,34.26878429,-118.4379982,"8,130",Local Park,"251,549.9437","2,168.752854"
"5,970",Knoll Hill Dog Park,Knoll Hill Dog Park,Open Access,5.787,5.78755117,"Los Angeles, Port of",Special District,Port/Harbor District,http://www.portoflosangeles.org/,"Los Angeles, Port of",Not Analyzed,Not Analyzed,false,false,false,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special District,33.75014463,-118.2831441,"5,970",Regional Open Space,"252,104.7206","5,193.975348"
"45,652",El Rancho Verde Park,El Rancho Verde Park,Open Access,5.817,5.36635443,"Cerritos, City of",City,City Agency,http://www.ci.cerritos.ca.us/,"Cerritos, City of",Neighborhood Park,Park 5 to 100 Acres,true,true,true,Good,Present - Good,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City,33.85007205,-118.0527101,"45,652",Local Park,"233,757.464","3,506.920019"
"10,714",Ruben F Salazar Park,Ruben F. Salazar Park,Open Access,5.82,5.81955377,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Neighborhood Park,Park 5 to 100 Acres,true,true,true,Good,Fair,None,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,County,34.02269845,-118.1901252,"10,714",Local Park,"253,498.7482","2,647.362458"
"5,475",Amarillo Beach,Amarillo Beach,Open Access,5.827,1.69020482,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,false,false,false,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,County,34.03028919,-118.704012,"5,475",Regional Open Space,"73,625.02729","6,172.812297"
"24,533",Everett Martin Park,Everett Martin Park,Open Access,5.834,5.83297777,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Neighborhood Park,Park 5 to 100 Acres,true,true,true,Good,Fair,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,County,34.52711251,-117.9662287,"24,533",Local Park,"254,083.4955","2,276.085299"
"29,330",Lakeview Park,Lakeview Park,Open Access,5.842,5.84206777,"Santa Fe Springs, City of",City,City Agency,http://www.santafesprings.org/cityhall/community_serv/parks/default.asp,"Santa Fe Springs, City of",Neighborhood Park,Park 5 to 100 Acres,true,true,true,Fair,Present - Good,None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,City,33.94341117,-118.0870308,"29,330",Local Park,"254,479.454","2,148.900934"
908,Genesee Avenue Park,Genesee Avenue Park,Open Access,5.853,5.85263025,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Neighborhood Park,Park 5 to 100 Acres,true,true,true,Fair,Present - Fair,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City,34.03637139,-118.3679428,908,Local Park,"254,939.5541","2,027.453167"
"6,678",Davenport Park,Davenport Park,Open Access,5.853,5.85350015,"Long Beach, City of",City,City Agency,http://www.longbeach.gov/park/default.asp,"Long Beach, City of",Neighborhood Park,Park 5 to 100 Acres,true,true,true,Fair,Present - Good,Present - Good,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,City,33.85691835,-118.1565673,"6,678",Local Park,"254,977.4465","2,084.306803"
"20,610",Zapopan Park,Zapopan Park,Open Access,5.87,6.7650755,"Rosemead, City of",City,City Agency,http://www.cityofrosemead.org/index.aspx?page=74,"Rosemead, City of",Neighborhood Park,Park 5 to 100 Acres,true,true,true,Fair,Present - Good,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,City,34.06410149,-118.0865599,"20,610",Local Park,"294,685.5101","2,887.260828"
"46,458",Promenade Park,Promenade Park,No Public Access,5.893,5.89260147,"Azusa, City of",City,City Agency,http://www.ci.azusa.ca.us/index.aspx?NID=249,"Azusa, City of",Neighborhood Park,Park 5 to 100 Acres,true,true,false,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City,34.13861707,-117.8958129,"46,458",Local Park,"256,680.6933","2,231.258549"
"2,768",Kelby Park,Kelby Park,Open Access,5.909,5.90851042,"Covina, City of",City,City Agency,http://www.ci.covina.ca.us/city-departments/parks-a-recreation,"Covina, City of",Neighborhood Park,Park 5 to 100 Acres,true,true,true,Good,Present - Good,None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,City,34.09456969,-117.8821395,"2,768",Local Park,"257,373.6846","2,487.743964"
